node_1|node_2|edge|chunk_id
beratungshilfegesetz|prozesskostenhilfe|Beide Begriffe sind in der Einleitung erwähnt und sind die Hauptthemen des Textes.|72dd647f52cd450596811bd2c570fac4
menschen|streit|Menschen können zusammenleben oder zusammenarbeiten und dabei kann es zu Streit kommen.|72dd647f52cd450596811bd2c570fac4
streit|nachbarn|Streit kann zum Beispiel mit den Nachbarn entstehen.|72dd647f52cd450596811bd2c570fac4
streit|vermieterin|Streit kann auch mit der Vermieterin entstehen.|72dd647f52cd450596811bd2c570fac4
streit|arbeitgeber|Streit kann auch mit dem Arbeitgeber entstehen.|72dd647f52cd450596811bd2c570fac4
streit|familie|Streit kann auch innerhalb der eigenen Familie entstehen.|72dd647f52cd450596811bd2c570fac4
rechtlichen beistand|beratungshilfe|Beratungshilfe ermöglicht rechtlichen Beistand in Fällen, in denen man miteinander nicht mehr ins Gespräch kommt.|72dd647f52cd450596811bd2c570fac4
beratungshilfe|prozesskostenhilfe|Beratungshilfe und Prozesskostenhilfe bieten rechtlichen Beistand außerhalb und innerhalb eines gerichtlichen Verfahrens.|72dd647f52cd450596811bd2c570fac4
außergerichtliche einigung|gericht|Wenn außergerichtliche Einigungsversuche scheitern, wird ein Gericht mit der Sache befasst.|72dd647f52cd450596811bd2c570fac4
prozesskostenhilfe|prozessführung|Die Kosten der Prozessführung werden ganz oder teilweise vom Staat getragen, falls notwendig.|72dd647f52cd450596811bd2c570fac4
beratungs- und prozesskostenhilfe|streit|Beratungs- und Prozesskostenhilfe dienen nicht als Einladung zum Streit.|72dd647f52cd450596811bd2c570fac4
recht|freie gesellschaft|Eine freiheitliche Gesellschaft wird durch das Recht geregelt.|72dd647f52cd450596811bd2c570fac4
bürgerinnen|rechte durchsetzen|Alle Bürgerinnen und Bürger haben die Möglichkeit, unabhängig von ihren finanziellen Verhältnissen, ihre Rechte durchzusetzen.|72dd647f52cd450596811bd2c570fac4
rechtsbeistand|beratungs- und prozesskostenhilfe|Beratungs- und Prozesskostenhilfe leisten einen wichtigen Beitrag zur Durchsetzung von Rechten durch Rechtsbeistand.|72dd647f52cd450596811bd2c570fac4
